Filename,Author,Date,Weeks_Since_Start
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,Scott Alexander-Bown,2015-06-30T14:14:08Z,1.6
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/Utils.java,Scott Alexander-Bown,2015-06-30T14:14:08Z,1.6
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,Matthew Rollings,2015-06-30T14:14:02Z,1.6
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,2015-06-30T14:14:02Z,1.6
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,Matthew Rollings,2015-06-30T13:40:46Z,1.6
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,Scott Alexander-Bown,2015-06-29T13:06:59Z,1.4
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,Scott Alexander-Bown,2015-06-29T13:06:59Z,1.4
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,2015-06-29T13:06:14Z,1.4
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2015-06-29T13:06:14Z,1.4
app/src/main/res/menu/menu_main.xml,Scott Alexander-Bown,2015-06-29T13:06:14Z,1.4
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2015-06-29T13:06:14Z,1.4
rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java,Scott Alexander-Bown,2015-06-26T18:48:49Z,1.0
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,2015-06-26T15:57:05Z,1.0
.idea/gradle.xml,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
.idea/modules.xml,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
app/build.gradle,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
app/src/androidTest/java/com/scottyab/rootbeer/ApplicationTest.java,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
app/src/main/res/values/strings.xml,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
rootbeerlib/build.gradle,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
rootbeerlib/proguard-rules.pro,Scott Alexander-Bown,2015-06-26T15:50:40Z,1.0
